사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,2호선,53,충정로(경기대입구),22,1,2485,751,5119,4379,12220,14575,17439,47564,11412,23066,8552,9800,8542,7501,8942,7418,9543,8875,10111,8070,11449,8683,12179,9230,19941,12174,38357,17203,12868,13078,8958,8694,9159,10793,3254,4037,725,1924,2,75,0,0,0,0,0,0
2021-01,2호선,54,용답,5,0,2103,195,2339,763,5301,1456,10081,2243,4977,1682,3065,1485,3028,1692,3056,2219,3508,2429,3434,2979,3150,3463,3361,4622,3260,5056,2868,8372,1490,5760,1014,3629,950,5892,691,2567,185,1155,1,7,0,0,0,0,0,0
2021-01,2호선,55,신답,2,0,811,79,1282,532,4774,845,8015,1568,3382,916,1673,699,1419,886,1549,1018,1589,1207,1490,1457,1307,2093,1276,2528,1500,3546,1630,7732,706,5975,472,2698,476,3595,274,1298,50,637,0,6,0,0,0,0,0,0
2021-01,2호선,56,신설동,11,1,912,323,1062,2005,2578,5096,4841,11852,3209,7103,2871,5123,3582,5502,4490,5496,5224,5842,6515,5502,7566,4980,8118,3930,9346,4088,9823,4529,4146,3281,2777,1952,2278,2218,869,1050,188,535,0,124,0,0,0,0,0,0
2021-01,2호선,57,도림천,0,0,271,283,907,628,2520,2345,2964,5219,1507,2249,1725,1356,1368,1184,2301,1828,1440,1414,1817,1720,1892,1389,2534,1574,2666,2009,3439,2454,1849,2374,859,1411,873,1702,241,711,98,330,0,23,0,0,0,0,0,0
2021-01,2호선,58,양천구청,7,0,3654,840,9058,1764,25530,3887,23040,7977,12113,3856,7487,3423,6948,3737,7508,4879,7292,5554,6084,5830,5922,7789,6149,9148,6603,13981,6637,24146,2889,22012,2485,12195,2276,13265,1357,6742,304,2881,0,242,0,0,0,0,0,0
2021-01,2호선,59,신정네거리,34,0,6354,1085,11964,3957,36642,4390,34465,9970,17531,6777,11323,5718,10066,6818,10939,7743,10568,9116,9530,9220,9576,12026,10344,14315,10477,21268,9133,37308,5255,30251,4992,16035,4113,17985,1698,9101,450,3798,5,195,0,0,0,0,0,0
2021-01,2호선,60,용두(동대문구청),22,3,910,158,1162,680,3803,2004,6641,5680,3342,2760,2501,2607,2782,2822,3064,2676,3223,3292,3636,3773,3864,3760,4029,3312,3882,3646,5144,6492,2022,4816,1354,2508,1023,2962,550,1081,189,512,0,4,0,0,0,0,0,0
2021-01,3호선,61,지축,3,0,1255,262,4133,1861,12683,2081,12971,2615,5979,1599,4116,1427,3827,1904,3707,2462,3769,2610,3477,2764,3617,3583,4339,4488,3984,5779,2688,12532,1200,10159,839,6377,758,7036,541,3444,177,944,0,0,0,0,0,0,0,0
2021-01,3호선,62,구파발,112,1,7481,1152,23090,6522,65828,16808,64022,21860,31994,20194,20602,18908,19758,16841,21694,17670,20794,20184,21400,20590,23655,21366,25465,23113,27533,30621,23471,55997,13810,50782,12486,26926,11648,30602,4455,14108,948,6853,8,980,0,7,0,0,0,0
